Width: 100
Length: 200
Depth: 400
28.1824 17.5991 259.921
61.4484 70.8977 63.4442
62.1987 44.3055 286.08
42.5138 98.4865 375.97
85.1564 58.7804 311.8
89.3484 58.7808 91.3373
8.31149 37.4021 73.0862
32.1927 42.3422 222.551
98.7611 52.1542 306.58
98.3875 46.9854 126.884
35.563 44.7047 81.4893
97.2103 51.1024 115.481
64.9202 77.534 313.94
56.8567 45.5584 382.08
78.1461 66.6086 390.04
82.7921 8.78597 17.6712
71.2651 34.8018 66.2146
73.4878 66.7367 10.1011
65.6106 33.5081 276.411
66.6212 66.1657 388.82
82.6514 11.5268 159.597
84.8139 58.8316 72.546
66.341 5.73525 252.861
86.9123 30.191 322.2
91.7368 73.1368 123.291
48.5747 2.25457 246.901
23.2621 90.7396 89.325
10.0815 64.6381 159.317
43.1339 8.00577 265.021
18.0819 7.36562 287.29
61.6285 99.4263 137.165
43.964 98.4265 71.7758
94.5349 39.4139 190.692
90.0743 64.8135 172.354
68.2224 69.6559 105.395
34.3529 71.1164 261.181
4.93138 6.25536 347.58
76.9134 11.0666 214.551
31.2626 93.6582 266.401
68.2024 20.5408 114.753
52.2955 15.108 333.71
39.7334 50.8196 163.646
96.3357 51.0203 171.574
98.3356 91.5592 199.122
75.0601 50.7019 129.059
72.2162 73.7544 205.392
14.5617 36.4277 355.26
84.8844 28.7287 398.38
93.0868 70.51 339.88
85.7411 51.5312 164.336
77.0838 74.4321 241.211
24.2422 83.7049 15.2812
25.3622 65.6746 137.364
89.4709 88.8807 304.46
89.2362 15.8383 174.494
69.4334 19.3701 217.181
78.8078 92.3988 52.8829
49.7149 12.4771 44.6423
27.4724 58.8426 75.5269
10.2816 17.1089 31.8017
46.3143 33.1772 173.544
92.6292 97.4069 135.403
14.0317 74.2228 257.641
60.6981 37.8343 166.925
49.745 22.7623 308.37
21.712 75.8878 62.7241
6.48143 4.82506 130.041
44.7141 44.992 213.331
99.1606 4.35496 287.46
68.7428 37.2313 139.468
76.3323 63.5237 291.48
17.2818 69.1896 150.912
21.352 68.1691 314.12
60.478 15.9884 210.581
19.4719 13.6475 91.6778
22.8021 25.2645 182.173
31.9227 47.3128 277.58
86.6799 70.4703 384.07
11.8216 35.7852 329.84
22.5021 15.4682 66.8648
12.8116 62.6296 270.621
98.3175 48.4863 259.981
74.389 12.8372 374.03
12.9817 27.113 128.93
3.83135 51.1716 308.16
47.1145 87.3717 337.38
53.7759 87.9313 113.759
46.0543 93.4083 141.014
84.3307 87.9613 309.86
4.58137 96.2273 190.952
26.0223 62.6402 265.851
51.2753 33.5883 9.14105
81.4261 89.6003 388.26
62.1187 98.1466 231.731
12.2416 17.8693 63.9143
42.1837 88.0812 79.3283
8.43149 82.5062 243.691
72.3463 94.268 282.98
36.5431 33.6484 295.78
99.4964 66.9931 359.71
97.1784 34.2802 42.7322
87.0843 93.1585 35.7118
57.0668 21.3813 277.62
36.1131 76.8754 216.151
58.7974 97.4069 140.196
23.9822 47.1647 168.175
42.3738 5.39518 235.611
47.0845 62.1911 142.312
61.6685 22.9025 61.4739
54.496 83.1355 262.351
87.0539 71.8525 295.39
62.5089 24.1535 253.381
46.1043 46.7332 334.52
26.5023 43.6423 80.4088
79.4195 60.91 56.1633
52.7756 51.5015 370.49
38.8133 70.4107 22.1914
47.8546 84.9936 281.71
52.6256 23.8833 44.4423
48.3147 61.8368 58.9136
65.4605 78.4122 218.911
86.0538 51.9851 156.149
74.0786 17.4391 170.145
98.8541 45.2491 285.36
73.1173 60.9741 273.951
78.4569 75.9377 356.56
73.0272 49.1205 217.281
71.8458 46.6285 272.621
10.9216 80.6985 246.061
3.36134 65.7138 181.573
46.4344 76.2469 9.16105
29.2625 43.1845 267.641
77.9858 87.6315 183.603
16.3818 38.1259 57.5334
98.7066 39.4844 344.77
46.2343 68.1394 288.92
86.791 46.7123 169.955
25.4022 62.445 269.361
20.272 25.8551 64.1443
19.7919 87.2818 188.493
63.4594 22.0718 204.632
59.4676 33.5381 351.7
86.8719 76.8854 229.581
3.40134 10.7065 187.443
72.857 10.4364 190.022
12.9417 92.3588 397.2
88.6558 48.3332 134.011
59.4776 27.4169 175.394
13.3817 36.6788 160.657
35.683 44.7047 377.18
76.8232 21.9918 50.5927
49.765 95.0577 40.5821
73.1974 59.1736 327.16
72.887 58.352 305.22
46.3143 40.6739 217.731
6.74144 41.9675 289.35
14.5517 68.1097 66.7847
11.7516 24.1535 130.524
65.6206 62.5112 351.54
14.6917 60.3735 316.37
58.7373 85.8029 360.19
3.52134 22.5021 133.117
61.9186 83.545 375.72
56.9267 4.43498 281.96
4.04136 62.6082 283.82
88.483 36.2771 185.663
43.6239 58.7988 243.721
89.89 67.9118 341.9
1.59129 34.7717 377.87
8.22149 97.9767 335.01
45.9643 44.0196 191.002
47.9846 71.8027 205.192
57.1968 22.1319 135.96
28.0124 11.4867 282.78
8.5415 44.5408 353.93
91.2174 11.8369 351.85
96.0582 7.76571 332.45
57.1768 46.18 34.4018
73.7782 30.782 164.626
80.0513 76.1172 31.4617
82.8222 63.3794 387.4
19.0119 94.3879 383.27
4.54137 31.8341 80.3087
91.0519 12.0069 336.25
87.7119 39.706 206.142
7.85147 5.9553 53.043
57.3669 59.0302 233.831
39.6434 95.9474 396.38
33.5628 39.7261 374.23
11.1716 60.743 179.453
41.5937 59.092 293.68
44.6641 16.3886 238.101
69.1331 86.942 83.6505
34.4529 38.2365 279.37
53.9659 0.814333 41.7221
66.5011 62.8627 184.703
72.4665 47.3871 348.15
47.6446 20.2006 53.743
69.6436 27.6572 328.75
73.0772 6.80549 203.352
50.3451 3.27476 20.7113
49.0548 21.5314 136.269
28.9925 92.1889 234.711
90.9486 52.2065 46.7125
54.6661 4.98503 122.246
16.2318 46.9959 305.97
12.0216 11.2567 144.159
46.4444 19.29 65.5845
49.3849 81.827 185.783
22.2721 16.8388 228.371
4.04136 22.5422 231.701
1.17128 89.8501 177.804
51.1953 93.0585 241.201
20.682 33.6484 58.8636
1.29128 9.73623 244.071
30.8726 3.5248 336.12
31.0526 25.9452 189.932
9.70153 7.3056 383.68
61.8386 92.6287 32.6717
35.543 92.029 177.524
79.1788 67.1411 138.83
24.0322 85.3333 51.5428
83.2745 67.7832 96.306
65.0302 32.7462 71.6258
77.4044 98.8864 40.2521
66.1409 7.14556 226.651
34.0529 42.0181 286.48
72.9471 45.4861 296.96
86.8618 73.2165 174.934
88.9204 25.2946 251.881
93.9986 49.1318 295.99
11.5516 45.4139 326.26
38.1233 89.1006 144.518
7.30146 27.437 161.337
87.1045 86.3625 8.03103
12.4916 60.4582 249.031
53.5358 8.22583 142.402
17.4718 22.8925 99.7767
22.5721 30.5917 125.05
58.6173 80.369 188.443
41.8737 7.64568 79.5984
14.8217 51.1855 318.19
4.17136 42.3624 357.79
42.4938 87.7415 58.1635
77.174 80.6785 0.80091
1.60129 61.3642 288.37
2.61132 25.685 309.39
23.1021 5.77526 325.45
58.3972 89.9001 23.1314
23.6121 34.0395 111.178
98.9822 86.5046 283.22
57.9471 88.5209 179.293
56.6367 81.088 87.7135
26.2723 69.6857 166.645
99.1626 47.9322 335.27
78.898 62.3984 253.581
91.1139 50.3589 21.0413
85.2975 63.341 252.051
25.2322 85.6031 34.8118
55.6464 8.00577 238.101
83.1237 61.5995 7.03101
44.054 31.794 86.6025
64.2898 68.7732 94.1616
16.8118 6.38539 128.209
45.2142 39.7161 359.68
91.7994 29.1593 323.14
39.3434 88.9207 84.8813
73.8983 3.93488 277.2
99.5175 32.5357 177.584
93.4634 23.6631 181.283
62.1987 14.958 105.537
40.7436 60.4923 287.18
53.4158 40.7749 234.961
63.4994 42.3118 194.482
63.2693 61.8442 355.99
69.1932 63.5237 98.6526
30.1726 77.2845 258.871
51.1652 95.4875 217.571
89.3484 66.7663 277.63
11.2116 85.3433 172.114
91.5183 72.2904 178.753
54.526 21.1412 173.234
26.8723 32.7261 330.33
85.2672 27.3068 94.2417
79.2289 86.5623 312.82
21.662 26.0954 362.69
86.3163 17.6292 387.76
34.4329 40.5327 328.12
71.3452 80.4189 70.6555
43.5239 89.7602 28.7016
92.9373 82.9856 101.344
45.4842 17.349 106.226
80.0212 38.5181 331.43
68.5727 62.3273 330.23
46.9244 72.9774 74.3865
36.9331 72.7185 265.081
91.0105 27.1166 40.4121
80.7436 72.7882 306.61
11.8616 45.8893 314.06
82.4705 43.1032 262.001
81.9382 6.52542 124.825
7.79147 15.5782 277.22
88.5948 30.3212 100.962
87.2057 92.3788 284.35
23.0221 16.3185 1.07091
43.0839 62.3336 336.72
65.9408 9.33612 40.2321
10.3216 64.716 110.332
19.962 17.8193 5.56099
0.71127 78.2625 229.611
79.3392 32.6259 81.5493
96.6825 29.3596 83.1002
8.7315 24.7841 266.301
64.3899 82.0267 290.43
57.637 77.1847 32.8217
62.0787 98.5165 371.55
73.7882 42.2307 175.534
2.89133 60.8219 94.5323
38.9034 65.4099 273.641
48.6647 7.08555 351
13.3317 1.98453 125.914
84.0087 88.0812 218.561
84.0891 2.23457 301.92
99.6618 38.498 339.04
78.0659 32.6559 49.8927
95.9042 35.9559 172.224
53.5758 12.237 228.191
11.9116 29.1293 306.9
27.2124 41.0475 175.684
93.5392 47.1013 90.5664
31.3527 18.0794 97.469
18.9319 14.3978 303.27
34.4829 62.6151 130.091
46.6744 84.2543 375.51
63.5994 59.2053 295.7
53.9359 26.2155 262.721
52.8856 66.4313 63.8342
36.0231 61.2059 325.65
15.2617 90.5597 323.33
21.9621 84.3242 350.56
16.3818 74.9305 344.79
51.3253 90.14 283.93
56.2565 39.6657 268.661
79.2891 15.9284 244.721
54.0359 74.2328 180.783
89.175 65.9396 108.407
51.6854 91.6092 281.05
26.3223 58.5344 19.4613
8.88151 61.7556 159.167
22.3521 27.437 361.6
6.27142 76.8555 394.53
70.4843 49.8488 35.6818
5.78141 29.0892 381.08
92.9053 62.6034 227.141
19.0519 47.0802 115.747
52.4355 31.3732 201.062
11.5416 13.8676 175.154
63.1592 47.8569 325.32
68.0623 49.4168 195.712
38.2333 65.3218 130.939
23.3221 44.8996 354.15
25.1322 2.00453 152.211
72.1061 19.9104 188.573
39.9935 33.6484 171.764
41.9837 27.6973 303.17
83.0132 99.4762 372.8
38.2233 36.5583 292.78
22.0921 22.9325 257.241
57.0068 98.9964 321.52
49.3149 22.5922 370.88
22.3421 71.8326 148.544
56.0565 19.23 147.275
98.8541 84.8737 189.053
78.9181 27.0965 129.589
21.132 63.7165 206.632
79.4495 39.6758 267.151
61.2583 98.8764 64.2143
98.8309 41.755 237.631
30.3326 97.6268 106.124
71.5955 59.5766 253.771
45.2442 24.3136 143.28
79.0484 31.5134 137.066
46.5044 61.6519 74.3365
35.113 88.1512 57.9835
32.9228 3.30476 145.417
4.49137 58.7897 191.032
68.0322 61.1185 169.545
40.6736 75.3393 362.83
2.07131 90.1 283.35
21.762 20.4908 214.891
35.323 72.1112 109.572
58.7273 61.6335 90.1359
87.6714 24.5839 76.4072
38.4333 62.6313 14.8912
74.98 20.5608 233.221
55.1962 39.3535 9.95107
66.6312 69.1698 67.5949
76.703 20.821 167.385
63.4794 66.5495 80.969
2.76132 62.0306 299.69
77.9657 60.3746 42.5822
13.7817 49.5439 350.02
9.08151 7.83573 39.762
32.9228 16.7487 371.4
33.6328 39.5247 113.049
65.5605 78.3424 32.5117
23.1321 19.5702 39.572
10.6316 93.8182 59.1736
87.2562 9.42614 89.4551
70.7146 65.3707 280.1
68.6627 33.6785 335.64
39.7334 17.1889 390.05
29.1325 30.742 8.04103
91.6014 45.4861 300.92
65.6506 58.9466 84.511
1.56129 42.6362 358.85
15.1217 99.3563 57.9334
100 36.735 16.4502
99.9944 16.0984 273.841
99.9944 88.8707 156.289
99.9944 27.3572 289.68
99.9944 87.8414 376.69
99.9944 95.6575 327.65
99.9944 1.01436 104.082
99.9944 22.8424 346.41
99.9944 22.4321 179.333
99.9944 77.6737 391.06
99.9944 30.0908 165.206
99.9944 45.672 205.582
99.9944 8.26584 339.8
99.9944 58.9246 296.65
99.9944 58.8842 316.51
99.9944 48.5083 107.936
99.9944 89.2305 61.8039
99.9944 27.8672 289
99.9944 72.0018 86.5925
99.9944 19.4001 269.591
99.9944 40.0184 312.45
99.9944 75.8479 43.6923
99.9944 11.2567 324.02
99.9944 72.6189 199.892
99.9944 68.8014 178.224
99.9944 69.517 366.46
99.9944 49.0641 94.6725
99.9944 23.7431 36.0719
99.9944 78.542 137.434
99.9944 50.4591 157.728
99.9944 42.9305 224.371
99.9944 31.7339 186.483
99.9944 17.229 230.761
99.9771 38.4276 182.963
99.9771 52.3868 124.058
99.9944 61.5043 209.252
99.9944 93.3284 202.302
99.9944 83.0655 83.6805
99.9944 36.498 377.92
99.9944 95.9973 98.8533
99.9771 37.6333 388.87
99.9944 63.1109 354.01
99.9944 61.2865 144.728
99.9944 83.4651 52.5529
99.9771 72.37 277.11
99.9944 13.2773 78.9081
99.9944 99.1763 369.35
99.9944 2.09455 153.58
99.9944 71.8226 295.44
99.9944 44.951 57.2634
99.9944 83.3552 106.094
99.9944 6.8755 78.0678
99.9944 11.0966 37.4719
99.9944 78.2625 338.64
99.9944 80.1588 122.343
99.9944 46.4717 164.316
99.9944 59.1993 299.3
99.9944 63.6779 249.801
99.9944 29.3997 28.6416
99.9945 67.1115 195.842
99.9944 8.99602 63.9443
99.9944 58.7955 168.635
99.9944 60.0355 70.4355
99.9944 65.7727 163.066
99.9944 16.3386 203.162
99.9944 3.93488 381.13
99.9944 32.235 220.061
99.9944 77.8334 101.344
99.9944 98.9564 257.901
99.9944 36.9902 396.23
99.9944 10.2164 207.882
99.9944 33.077 166.975
99.9945 80.5387 196.802
99.9944 63.4102 260.951
99.9944 49.1884 231.201
99.9944 4.47499 75.5169
99.9944 42.1497 308.69
99.9944 36.3374 44.2923
99.9944 61.7787 261.211
99.9944 82.0667 220.891
99.9944 86.3225 370.28
99.9944 68.1889 157.978
99.9944 1.63447 172.494
99.9944 62.4926 35.0718
99.9944 45.1359 195.982
99.9944 43.3472 65.7546
99.9944 85.4332 342.44
99.9944 29.0492 379.07
99.9944 75.4686 254.321
99.9944 87.1119 324.17
99.9944 2.80467 271.161
99.9944 31.9744 183.793
99.9944 34.6413 42.3222
99.9944 21.6115 109.717
99.9944 42.2713 155.329
99.9944 28.4182 204.512
99.9945 17.8793 391.51
99.9944 66.855 67.965
99.9944 85.6231 329.57
99.9944 78.3124 100.46
99.9944 70.8977 330.63
99.9944 51.9358 68.165
99.9944 50.676 50.3027
99.9944 87.2518 291.72
99.9944 52.1027 356.52
99.9944 46.9012 147.744
99.9944 10.6365 238.311
99.9944 59.8693 158.108
99.9944 77.4042 311.05
99.9944 60.5867 285.35
99.9944 77.1947 304.5
99.9945 45.064 157.998
99.9944 33.5883 270.981
99.9944 10.7765 55.0831
99.9944 6.74547 123.396
99.9944 19.7203 362.7
99.9944 38.6489 147.704
99.9944 83.6549 348.52
99.9945 49.8014 179.903
99.9944 59.8383 8.22104
99.9944 19.23 257.081
99.9944 59.7541 192.722
99.9944 18.1694 305.91
99.9944 90.3798 267.161
99.9944 39.2226 216.831
99.9944 86.962 286.91
99.9944 20.7209 220.261
99.9944 67.0621 154.13
99.9944 94.8578 149.773
99.9946 59.8771 87.6634
99.9944 73.4256 167.995
99.9944 53.4651 94.2117
99.9944 16.4686 247.471
99.9944 95.8774 25.5015
99.9944 36.3474 224.051
99.9944 70.3014 12.0111
99.9944 86.3525 9.15105
99.9944 30.3713 254.441
99.9944 7.05554 237.831
99.9944 40.5024 124.044
99.9944 5.0051 233.751
99.9944 16.0484 46.2024
99.9944 73.326 312
99.9944 63.1684 365.69
99.9944 72.4596 281.18
99.9945 73.8242 207.632
99.9944 2.9747 236.291
99.9944 24.724 290.21
99.9771 26.4858 370.46
99.9944 70.361 384.07
99.9944 36.8797 93.5105
99.9944 22.7724 95.9853
99.9944 79.9296 169.685
99.9944 77.0949 397.97
99.9944 59.0917 253.551
99.9944 33.5381 104.496
99.9944 69.3186 108.931
99.9944 14.958 344.65
99.9944 10.2364 79.0282
99.9771 61.5234 166.785
99.9944 20.3006 43.4222
99.9944 49.9442 85.8319
99.9944 98.9964 16.2912
99.9944 38.3873 196.872
99.9944 44.3055 279.99
99.9944 47.7497 24.7614
99.9944 91.4472 299.802
99.9944 64.5017 211.581
99.9944 13.9476 255.631
99.9944 83.7348 172.154
99.9944 47.1964 231.471
99.9944 14.968 215.151
99.9944 87.0819 349.13
99.9944 84.2743 208.582
99.9944 8.66594 288.79
99.9944 92.9585 387.85
99.9944 25.2045 180.153
99.9944 82.9557 316.05
99.9944 63.5815 287.35
99.9944 33.488 378.43
99.9944 52.9578 201.972
99.9944 47.7282 57.9034
99.9944 78.8414 278.89
99.9944 76.9253 352.29
99.9944 35.996 53.0029
99.9944 83.3752 199.822
99.9944 33.4078 68.6751
99.9944 92.7087 27.6915
99.9944 59.2663 352.22
99.9944 16.5687 170.035
99.9944 49.5207 258.261
99.9944 15.2781 237.241
99.9944 42.6666 181.303
99.9946 89.4404 264.151
99.9944 3.41478 199.562
99.9944 88.431 384.08
99.9944 16.7087 104.082
99.9944 30.0107 262.521
99.9944 32.5757 229.441
99.9944 52.0351 363.32
99.9944 26.5859 183.843
99.9944 85.6131 85.3016
99.9944 12.7371 319.74
99.9944 42.9406 168.755
99.9944 25.0343 334.04
99.9944 64.8038 4.85098
99.9944 49.5787 378.42
99.9944 15.3281 140.795
99.9944 61.7165 279.15
99.9944 47.1436 189.912
99.9944 72.2705 336.29
99.9944 60.4251 389.31
99.9944 68.5453 98.7028
99.9944 89.8002 228.201
99.9944 53.6462 391.52
99.9944 44.5204 252.391
99.9944 53.8134 101.615
99.9944 59.2074 88.9246
99.9944 0.564293 204.342
99.9944 14.5678 381.47
99.9944 89.98 52.1929
99.9771 82.7359 73.4463
99.9944 94.9677 256.661
99.9944 98.9264 383.15
99.9944 93.6482 215.591
99.9944 24.7741 288.33
99.9944 25.8952 271.311
99.9944 40.684 98.3115
99.9944 58.7788 367.94
99.9944 48.0617 16.2812
99.9944 97.6868 120.685
99.9944 90.6797 305.49
99.9944 43.0211 245.541
99.9944 60.8836 84.2709
99.9944 42.3624 21.7413
99.9944 48.8735 157.908
99.9944 12.7872 274.261
99.9944 45.879 378.81
99.9944 10.1763 392.37
99.9944 93.7382 62.284
99.9944 54.3431 362.86
99.9944 97.8667 197.722
99.9944 5.62522 135.194
99.9944 54.5333 265.151
99.9944 60.0921 146.436
99.9944 15.8083 219.941
99.9771 71.7331 50.0327
99.9771 7.75571 298.04
99.9944 71.2258 145.367
99.9944 95.2876 34.3318
99.9944 76.8156 135.234
99.9944 66.4116 40.002
99.9944 76.3167 345.65
99.9944 24.8842 59.1136
99.9944 0.654307 244.361
99.9944 18.2895 25.7815
99.9944 38.5382 340.44
99.9944 95.4675 344.28
99.9944 78.4921 289.38
99.9944 38.8803 86.6125
99.9944 70.6989 166.245
99.9944 42.3624 268.621
99.9944 26.3457 198.002
99.9944 75.7981 80.809
99.9944 88.7708 5.76099
99.9945 35.5845 134.647
99.9771 69.5964 185.853
99.9944 76.217 110.753
99.9944 2.9847 4.51097
99.9944 69.1714 177.474
99.9944 58.8047 170.515
99.9944 60.3436 302.83
99.9944 42.9211 246.311
99.9944 38.0856 399.24
99.9944 9.22609 364.16
99.9944 73.4456 144.518
99.9944 9.2861 91.9982
99.9944 12.9272 138.132
99.9944 7.7157 183.383
99.9945 91.5492 370.58
99.9944 88.3111 322.83
99.9944 60.7773 332.21
99.9944 30.8421 258.611
99.9944 73.1965 241.831
99.9944 47.6534 43.5422
99.9944 21.7816 260.281
99.9944 59.9478 319.28
99.9944 43.3675 242.161
99.9944 96.3472 311.23
99.9944 86.2126 303.1
99.9944 45.9619 81.5193
99.9944 18.0794 259.951
99.9944 75.7186 254.821
99.9944 34.7818 231.391
99.9944 32.1047 312.16
99.9944 0.92435 268.461
99.9944 43.4998 188.303
99.9944 78.6518 273.761
99.9944 15.4082 293.17
99.9944 96.7771 198.562
99.9944 11.5968 344.92
99.9944 68.8525 89.1848
99.9944 7.7157 34.2918
99.9944 42.7376 338.76
99.9944 98.2166 346.85
99.9944 72.2605 256.581
99.9944 14.0976 94.0314
99.9944 35.715 23.6714
99.9944 37.5227 304.98
99.9944 14.1877 145.167
99.9944 85.4532 220.471
99.9944 82.8558 33.1317
99.9944 35.9157 398.34
99.9944 19.7903 123.32
99.9944 44.6945 1.93093
99.9944 69.9141 316.43
99.9944 80.5687 332.83
99.9944 37.8343 284.6
99.9944 34.7316 124.31
99.9944 92.8686 261.471
99.9944 46.9433 74.6166
99.9944 74.5318 141.912
99.9944 11.1166 322.06
99.9944 78.8215 78.9481
99.9944 27.2768 234.071
99.9944 31.1227 22.1614
99.9944 25.9352 322.55
99.9944 49.7072 103.84
99.9944 62.739 150.252
99.9944 61.5529 386.77
99.9944 36.9199 159.547
99.9944 79.4404 233.301
99.9944 71.7816 366.14
99.9946 66.1302 351.783
99.9944 88.5109 103.769
99.9944 94.4379 274.661
99.9944 34.5912 127.336
99.9944 47.6641 309.26
99.9944 4.85506 344.12
99.9944 37.4925 257.631
99.9944 51.7757 338.12
99.9944 37.4524 149.763
99.9944 9.32611 307.05
99.9935 66.9635 152.99
99.9944 66.5987 270.531
99.9944 60.9013 163.156
99.9944 62.5967 212.951
99.9944 42.1497 183.513
99.9944 88.461 384.98
99.9944 87.1519 192.992
99.9944 97.5168 149.553
99.9944 88.3111 395.36
99.9944 33.9693 111.306
99.9944 85.5631 290.96
99.9944 73.8441 385.21
99.9944 94.0881 382.53
99.9944 62.9103 84.8012
99.9944 58.9511 300.94
99.9944 93.4783 22.1614
99.9944 68.6543 59.8137
99.9945 6.07532 107.405
99.9944 59.108 99.9775
99.9944 64.5407 392.84
99.9944 40.9768 36.3219
99.9944 98.6565 81.6894
99.9944 51.8711 335.14
99.9944 72.7085 233.541
99.9944 67.1904 333.3
99.9944 90.3099 138.291
99.9944 94.368 189.292
99.9944 70.6392 292.28
99.9944 81.5074 340.48
99.9944 94.4579 220.481
99.9944 64.317 293.99
99.9944 23.9633 278.77
99.9944 10.8465 332.39
99.9945 20.0205 83.5604
99.9944 92.5987 2.08093
99.9944 62.445 28.9616
99.9944 97.4868 255.391
99.9944 44.715 55.8032
99.9944 81.827 364.21
99.9944 94.8078 93.7208
99.9944 31.7439 83.5404
99.9944 87.0619 174.414
99.9944 46.7437 389.43
99.9944 80.7484 2.35093
99.9944 41.2697 142.142
99.9944 4.09491 316.49
99.9944 59.3299 224.061
99.9944 72.2916 366.87
99.9944 15.5282 322.61
99.9944 62.6256 22.2914
99.9944 10.1864 195.622
99.9944 58.7788 40.2421
99.9944 83.565 4.11096
99.9944 49.8251 282.47
99.9944 96.3972 90.0858
99.9944 89.9601 5.25098
99.9944 81.9568 333.65
99.9944 39.3837 290.27
99.9944 95.4076 294.58
99.9944 93.1285 256.281
99.9944 4.71504 198.912
99.9944 58.9062 132.463
99.9944 30.0507 124.97
99.9944 83.6649 377.57
99.9944 2.06454 111.029
99.9944 90.08 291.59
99.9944 26.7862 131.552
99.9944 74.8508 123.496
99.9944 85.2034 182.693
99.9944 59.3069 50.9228
99.9944 31.3631 20.1513
99.9944 77.5739 308.25
99.9944 8.81598 23.6314
99.9944 42.1193 371.22
99.9944 18.3795 79.3083
99.9944 12.387 69.5853
99.9944 98.8764 34.4218
99.9944 64.4726 3.50095
99.9944 58.8004 308.04
99.9944 34.2802 196.652
99.9944 61.163 77.0474
99.9944 9.2761 83.5004
99.9945 18.3795 101.615
99.9944 85.0636 73.4763
99.9944 2.17456 216.631
99.9944 72.9177 170.765
99.9945 48.5743 383.1
99.9944 90.2699 300.24
99.9944 34.6413 344.43
99.9944 73.8242 201.402
99.9944 15.7183 127.995
99.9944 1.38443 386.87
99.9944 97.5268 341.55
99.9944 2.9647 12.9611
99.9944 18.7998 370.14
99.9944 59.4568 155.919
99.9944 33.8791 302.53
99.9944 72.6787 270.531
99.9944 73.9833 226.261
99.9944 15.018 131.255
99.9944 80.9087 126.723
99.9944 14.6979 218.761
99.9944 66.3132 219.531
99.9944 38.3471 214.861
99.9944 40.3208 396.81
99.9944 1.86451 249.171
99.9944 49.766 15.4112
99.9944 80.6585 72.1359
99.9944 86.2626 242.371
99.9944 74.1533 225.921
99.9944 58.8987 227.411
99.9944 88.0213 387.67
99.9944 73.3559 352.82
99.9944 45.4036 312.1
99.9944 1.54445 194.422
99.9944 10.2864 356.44
99.9944 84.8038 320.26
99.9944 3.42479 250.551
99.9944 74.7212 12.6011
99.9944 76.8455 200.822
99.9944 40.1998 192.152
99.9945 15.8483 186.683
99.9944 49.4168 235.651
99.9944 89.2905 361.69
99.9944 5.91529 138.291
99.9944 66.1952 303.6
99.9944 10.0763 323.04
99.9944 12.6571 52.4029
99.9944 21.2212 346.32
99.9944 63.1396 241.931
99.9944 84.4341 136.956
99.9944 60.273 54.6731
99.9944 94.8478 228.691
99.9944 1.55445 288.15
99.9944 93.7282 12.5511
99.9944 62.0229 130.297
99.9944 1.26441 55.7532
99.9944 26.8162 229.651
99.9944 3.97489 161.917
99.9944 11.5868 302.43
99.9944 27.3168 58.9136
99.9944 47.7711 61.994
99.9944 23.9934 87.9737
99.9944 47.0697 225.901
99.9944 60.604 345.85
99.9944 81.038 250.251
99.9944 46.9643 250.841
99.9944 46.4717 364.41
99.9771 39.434 304.84
99.9944 65.9494 324.62
99.9944 72.2307 341.38
99.9944 32.2951 335.84
99.9944 70.3213 244.051
99.9944 79.2108 346.79
99.9944 53.6147 219.911
99.9944 61.9204 136.338
99.9944 54.8404 118.278
Iteration : 6
62.4828 87.0672 243.881
61.4721 96.3104 76.1802
24.6032 85.2593 235.961
80.7082 59.3316 341.39
94.8619 12.8303 208.852
35.6644 27.6047 151.327
99.6864 79.1801 117.989
30.6437 94.9411 89.4918
18.3127 34.0022 121.558
85.1004 37.1285 9.57153
52.0378 45.5813 154.794
26.6133 62.2929 34.2626
99.9751 88.3859 239.151
6.22205 78.452 79.8022
45.9062 50.6672 168.177
7.03208 69.8687 5.48142
52.528 23.6688 164.059
19.0728 37.35 250.471
50.7274 7.16801 168.937
33.7241 11.7298 150.977
27.5934 43.4408 131.898
70.751 39.3566 153.914
44.3858 70.1755 42.4031
69.269 98.0696 247.251
53.0382 45.0081 357.41
85.4037 88.1761 109.045
73.205 60.202 318.25
98.1429 2.39661 272.731
3.01192 18.9141 293.441
95.6803 62.2453 166.398
22.723 87.1171 86.2676
5.152 30.1601 128.457
15.5525 63.9378 8.6315
83.3546 96.9801 359.19
49.5271 38.7005 332.86
39.695 6.5278 68.2972
63.0332 74.6254 255.801
54.5987 99.0692 180.665
38.7948 90.614 46.1135
33.154 16.7726 123.204
37.6846 2.54665 296.461
16.5826 0.826233 187.754
40.8952 78.0231 258.341
99.6539 63.4447 27.8122
55.4691 49.5128 7.14146
57.9102 96.8402 291.181
92.9996 30.0498 348.08
95.7067 70.7006 258.351
60.5616 38.4584 27.2722
0.841833 32.8077 289.211
36.3544 38.8115 22.232
6.11204 70.1755 315.51
39.0548 29.4183 302.361
54.5987 4.42724 123.201
88.9237 63.4672 199.723
26.1733 38.0048 245.671
32.0639 21.9269 54.5645
56.1694 16.6325 1.74133
22.443 61.4291 345.51
62.5428 90.3642 226.422
20.2628 30.6814 195.043
34.6642 13.6207 397.74
34.0941 14.7814 79.6421
8.65216 38.9931 122.943
29.5736 38.7106 341.54
91.0459 79.1202 394.28
35.7644 10.8894 243.661
57.7701 19.6748 273.351
93.7435 60.9348 291.501
27.5634 41.9402 42.6732
87.7888 20.6256 264.821
22.243 51.6536 201.643
76.1416 78.1827 54.8445
52.518 24.8203 25.5121
73.7761 91.5133 227.542
